               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.022056,              0.0116,           0.0091616,             0.52823,             0.41471,             0.42171,             0.22425,            0.021593,           0.0083844,           0.0068213,          0.00091174,          0.00091174,          0.00091174
                  54,            0.022011,            0.011563,           0.0091321,             0.57058,             0.39462,             0.42339,             0.22505,            0.021579,           0.0083861,           0.0068111,          0.00091004,          0.00091004,          0.00091004
                  55,            0.021954,            0.011551,           0.0090964,             0.57062,             0.39714,             0.42484,             0.22553,            0.021568,           0.0083843,           0.0067994,          0.00090835,          0.00090835,          0.00090835
                  56,            0.022006,            0.011611,           0.0091354,             0.58515,             0.39478,              0.4263,             0.22634,            0.021557,           0.0083842,           0.0067891,          0.00090665,          0.00090665,          0.00090665
                  57,            0.021852,            0.011539,           0.0090354,             0.57976,             0.39808,             0.42678,             0.22664,            0.021548,           0.0083864,           0.0067816,          0.00090495,          0.00090495,          0.00090495
                  58,            0.021874,            0.011537,           0.0090088,              0.5887,             0.39474,             0.42725,             0.22722,            0.021539,           0.0083854,           0.0067724,          0.00090325,          0.00090325,          0.00090325
                  59,            0.021796,            0.011465,           0.0089673,             0.59353,             0.39438,             0.42825,             0.22779,            0.021532,           0.0083881,            0.006767,          0.00090156,          0.00090156,          0.00090156
                  60,             0.02185,            0.011528,           0.0089668,              0.5924,              0.3958,             0.42947,             0.22838,            0.021526,           0.0083912,           0.0067622,          0.00089986,          0.00089986,          0.00089986
                  61,            0.021782,            0.011492,           0.0089098,             0.56589,             0.40886,             0.43043,             0.22848,            0.021519,           0.0083935,           0.0067589,          0.00089816,          0.00089816,          0.00089816
                  62,            0.021828,            0.011469,           0.0089348,             0.57005,             0.40805,             0.43071,             0.22901,            0.021513,           0.0083958,           0.0067604,          0.00089646,          0.00089646,          0.00089646
                  63,            0.021724,            0.011375,           0.0088653,             0.56378,              0.4117,              0.4314,             0.22948,            0.021508,              0.0084,            0.006757,          0.00089477,          0.00089477,          0.00089477
                  64,            0.021692,            0.011453,           0.0088623,             0.56874,             0.40879,             0.43234,             0.23016,            0.021503,            0.008404,           0.0067521,          0.00089307,          0.00089307,          0.00089307
                  65,            0.021675,            0.011375,           0.0088766,             0.56295,             0.41246,             0.43321,             0.23088,            0.021498,           0.0084091,           0.0067492,          0.00089137,          0.00089137,          0.00089137
                  66,            0.021634,            0.011417,           0.0088065,             0.56353,             0.41274,             0.43415,             0.23157,            0.021492,           0.0084146,           0.0067448,          0.00088968,          0.00088968,          0.00088968
                  67,            0.021616,            0.011446,             0.00873,              0.5671,             0.41135,             0.43464,              0.2318,            0.021486,           0.0084217,           0.0067419,          0.00088798,          0.00088798,          0.00088798
                  68,            0.021641,            0.011401,           0.0087252,             0.57051,             0.41036,             0.43495,             0.23196,            0.021481,           0.0084266,           0.0067386,          0.00088628,          0.00088628,          0.00088628
                  69,            0.021617,            0.011431,           0.0087589,             0.57104,             0.40969,             0.43495,             0.23223,            0.021475,           0.0084336,           0.0067371,          0.00088458,          0.00088458,          0.00088458
                  70,            0.021672,            0.011482,           0.0087522,             0.57095,             0.40987,             0.43551,             0.23254,            0.021469,           0.0084399,           0.0067362,          0.00088289,          0.00088289,          0.00088289
                  71,            0.021575,            0.011515,           0.0086183,             0.54035,             0.42894,             0.43612,             0.23279,            0.021463,           0.0084468,           0.0067344,          0.00088119,          0.00088119,          0.00088119
                  72,            0.021526,            0.011396,           0.0086469,             0.57361,             0.40923,             0.43615,             0.23296,            0.021458,            0.008451,           0.0067361,          0.00087949,          0.00087949,          0.00087949
                  73,            0.021525,            0.011463,           0.0086436,             0.56884,             0.41272,             0.43648,             0.23341,            0.021456,           0.0084573,           0.0067349,          0.00087779,          0.00087779,          0.00087779
                  74,            0.021526,             0.01132,           0.0085947,             0.58009,             0.40687,             0.43645,             0.23343,            0.021454,           0.0084633,           0.0067337,           0.0008761,           0.0008761,           0.0008761
                  75,            0.021482,            0.011362,           0.0086304,             0.58076,             0.40741,             0.43694,             0.23343,            0.021453,           0.0084715,           0.0067354,           0.0008744,           0.0008744,           0.0008744
                  76,            0.021461,            0.011377,           0.0086437,             0.59778,             0.39824,             0.43704,             0.23402,            0.021451,           0.0084792,           0.0067362,           0.0008727,           0.0008727,           0.0008727
                  77,            0.021495,            0.011406,           0.0085729,             0.59483,             0.40011,             0.43728,             0.23424,            0.021448,           0.0084838,           0.0067369,          0.00087101,          0.00087101,          0.00087101
                  78,            0.021503,            0.011378,           0.0085928,              0.6083,             0.39366,             0.43783,             0.23431,            0.021446,           0.0084884,           0.0067364,          0.00086931,          0.00086931,          0.00086931
                  79,            0.021344,            0.011392,           0.0085293,             0.55751,             0.42049,             0.43865,             0.23478,            0.021442,           0.0084913,           0.0067344,          0.00086761,          0.00086761,          0.00086761
                  80,            0.021413,            0.011433,           0.0085858,             0.59071,             0.40252,             0.43879,             0.23482,            0.021438,           0.0084971,           0.0067335,          0.00086591,          0.00086591,          0.00086591
                  81,            0.021374,             0.01138,           0.0085238,             0.55653,             0.42279,             0.43921,              0.2349,            0.021434,           0.0085019,           0.0067281,          0.00086422,          0.00086422,          0.00086422
