               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.022291,            0.011536,           0.0089897,             0.53809,             0.43371,             0.44764,             0.23284,            0.021448,           0.0081151,           0.0062514,            0.002707,            0.002707,            0.002707
                  69,            0.022204,            0.011557,           0.0089959,             0.52224,             0.44483,             0.44856,             0.23399,            0.021457,           0.0081165,            0.006239,           0.0026975,           0.0026975,           0.0026975
                  70,            0.022244,            0.011616,           0.0090471,             0.55014,              0.4308,             0.45003,             0.23525,            0.021436,           0.0081102,           0.0062331,           0.0026881,           0.0026881,           0.0026881
                  71,            0.022239,            0.011679,           0.0089426,             0.56741,              0.4245,              0.4529,             0.23648,            0.021386,            0.008098,           0.0061992,           0.0026786,           0.0026786,           0.0026786
                  72,            0.022103,             0.01152,           0.0089164,             0.55305,              0.4297,             0.45173,              0.2358,            0.021405,           0.0081146,           0.0062114,           0.0026692,           0.0026692,           0.0026692
                  73,            0.022165,            0.011649,           0.0089377,             0.52761,             0.44898,             0.45311,             0.23664,            0.021369,           0.0080979,           0.0061623,           0.0026597,           0.0026597,           0.0026597
                  74,            0.022153,            0.011507,           0.0088744,             0.54727,             0.43987,             0.45505,             0.23804,            0.021327,           0.0080877,           0.0061514,           0.0026503,           0.0026503,           0.0026503
                  75,            0.022054,            0.011437,           0.0088947,             0.56108,             0.43223,             0.45584,             0.23782,            0.021309,           0.0080816,           0.0061441,           0.0026408,           0.0026408,           0.0026408
                  76,             0.02218,            0.011517,           0.0089136,              0.5419,             0.44234,             0.45677,             0.23855,            0.021295,            0.008083,           0.0061353,           0.0026314,           0.0026314,           0.0026314
                  77,            0.022095,             0.01149,           0.0089108,             0.55209,             0.43826,             0.45792,             0.23945,            0.021293,           0.0080772,           0.0061324,           0.0026219,           0.0026219,           0.0026219
                  78,            0.022113,            0.011467,           0.0088989,             0.56031,             0.43411,             0.45939,             0.24026,            0.021284,           0.0080761,           0.0061298,           0.0026125,           0.0026125,           0.0026125
                  79,            0.021974,            0.011587,           0.0088154,             0.55114,             0.44025,             0.45929,             0.24036,            0.021262,            0.008067,           0.0061127,            0.002603,            0.002603,            0.002603
                  80,            0.022023,            0.011491,           0.0088502,             0.54952,             0.44082,              0.4601,             0.24148,            0.021245,           0.0080659,           0.0061021,           0.0025936,           0.0025936,           0.0025936
                  81,            0.021957,            0.011529,           0.0088286,             0.55688,             0.43921,             0.46164,             0.24218,            0.021229,           0.0080627,           0.0060831,           0.0025841,           0.0025841,           0.0025841
                  82,            0.021976,            0.011459,           0.0088135,             0.56481,             0.43901,             0.46272,             0.24296,            0.021219,           0.0080603,           0.0060699,           0.0025747,           0.0025747,           0.0025747
