               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.018671,            0.010409,           0.0061043,              0.7014,             0.56856,             0.62444,             0.37764,             0.01841,           0.0074996,           0.0041225,          6.4837e-05,          6.4837e-05,          6.4837e-05
                  69,            0.018678,             0.01045,           0.0061397,             0.70279,             0.56797,             0.62458,             0.37786,            0.018409,           0.0074985,           0.0041223,          6.4611e-05,          6.4611e-05,          6.4611e-05
                  70,             0.01871,            0.010497,           0.0061907,             0.69631,             0.57225,             0.62462,             0.37807,            0.018409,           0.0074989,           0.0041218,          6.4385e-05,          6.4385e-05,          6.4385e-05
                  71,            0.018671,            0.010516,           0.0060737,             0.70058,             0.57065,             0.62475,             0.37809,            0.018408,           0.0074992,           0.0041206,          6.4159e-05,          6.4159e-05,          6.4159e-05
                  72,            0.018591,            0.010414,           0.0060807,             0.70466,             0.56871,             0.62494,             0.37817,            0.018407,            0.007499,           0.0041192,          6.3932e-05,          6.3932e-05,          6.3932e-05
                  73,            0.018651,             0.01048,           0.0061117,             0.70264,             0.57016,             0.62503,              0.3782,            0.018406,           0.0074989,           0.0041177,          6.3706e-05,          6.3706e-05,          6.3706e-05
                  74,            0.018667,            0.010348,            0.006113,             0.70577,             0.56823,             0.62486,             0.37816,            0.018405,           0.0074983,           0.0041164,           6.348e-05,           6.348e-05,           6.348e-05
                  75,            0.018619,            0.010406,           0.0061152,             0.70259,              0.5704,             0.62488,             0.37827,            0.018403,           0.0074983,           0.0041156,          6.3253e-05,          6.3253e-05,          6.3253e-05
                  76,            0.018637,            0.010413,           0.0061834,             0.70287,             0.57062,             0.62504,             0.37834,            0.018402,           0.0074981,           0.0041153,          6.3027e-05,          6.3027e-05,          6.3027e-05
                  77,            0.018651,             0.01043,           0.0060928,             0.70364,             0.57068,             0.62531,             0.37844,            0.018401,           0.0074976,           0.0041143,          6.2801e-05,          6.2801e-05,          6.2801e-05
                  78,            0.018689,            0.010431,           0.0061336,             0.72059,             0.56088,             0.62557,             0.37899,              0.0184,           0.0074965,           0.0041137,          6.2574e-05,          6.2574e-05,          6.2574e-05
                  79,            0.018592,            0.010451,           0.0061103,             0.71825,             0.56198,             0.62533,             0.37918,            0.018399,           0.0074963,           0.0041134,          6.2348e-05,          6.2348e-05,          6.2348e-05
                  80,            0.018647,            0.010483,           0.0061439,             0.71562,             0.56397,             0.62552,             0.37905,            0.018398,           0.0074962,           0.0041126,          6.2122e-05,          6.2122e-05,          6.2122e-05
                  81,            0.018558,            0.010442,           0.0060793,             0.70976,             0.56758,              0.6255,               0.379,            0.018396,           0.0074951,           0.0041129,          6.1895e-05,          6.1895e-05,          6.1895e-05
                  82,            0.018611,            0.010368,           0.0061152,             0.70943,             0.56785,             0.62573,             0.37916,            0.018395,           0.0074951,           0.0041124,          6.1669e-05,          6.1669e-05,          6.1669e-05
